#   Date [YY-MM-DD]  |  Epoch[MJD]  |  w/o EAM [as]  |    w/EAM  [as]
2026-04-08 00:00:00   	61138   	 0.13747153   	 0.13529149
2026-04-09 00:00:00   	61139   	 0.14058467   	 0.13487758
2026-04-10 00:00:00   	61140   	 0.14292243   	 0.13557526
2026-04-11 00:00:00   	61141   	 0.14512244   	 0.13830228
2026-04-12 00:00:00   	61142   	 0.14765402   	 0.14328832
2026-04-13 00:00:00   	61143   	 0.14875035   	 0.14985908
2026-04-14 00:00:00   	61144   	 0.15021160   	 0.15281856
2026-04-15 00:00:00   	61145   	 0.15231075   	 0.15424472
2026-04-16 00:00:00   	61146   	 0.15366436   	 0.15518075
2026-04-17 00:00:00   	61147   	 0.15712282   	 0.14906481
2026-04-18 00:00:00   	61148   	 0.14965074   	 0.14713318
