         MJD           Ac           As           X0           Y0           dX           dY
 47967.00000    -160.5406      10.1482      34.3739     -67.8214      93.2789    -217.5094 
 47968.00000    -163.0682      10.2786      33.6423     -65.4591      91.2734    -218.3497 
 47969.00000    -164.9914      10.7649      33.4185     -63.5430      89.1278    -219.2174 
 47970.00000    -164.9498      11.1906      33.7978     -63.4729      86.8175    -220.0698 
 47971.00000    -163.6299      11.5057      34.5426     -64.5611      84.4868    -220.8068 
 47972.00000    -163.0485      12.3778      35.6028     -64.6682      82.2365    -221.3952 
 47973.00000    -163.3081      13.4271      36.6164     -63.9673      80.0587    -221.9629 
 47974.00000    -163.6230      14.0289      37.2429     -63.5302      77.9075    -222.6392 
 47975.00000    -164.2622      14.7083      37.7602     -62.8548      75.6527    -223.3620 
 47976.00000    -165.5009      15.9804      38.5014     -61.4173      73.2056    -224.0258 
 47977.00000    -166.9965      17.6500      39.4592     -59.5952      70.6153    -224.6063 
 47978.00000    -168.2307      19.2976      40.4467     -58.0197      67.9417    -225.1065 
 47979.00000    -168.8389      20.5679      41.2456     -57.1521      65.2274    -225.5400 
 47980.00000    -168.6927      21.0414      41.5088     -57.2776      62.5327    -225.9725 
 47981.00000    -168.0068      20.7393      41.2489     -58.2247      59.9410    -226.4715 
 47982.00000    -167.1059      20.4272      41.1558     -59.4271      57.4966    -226.9819 
 47983.00000    -166.3036      20.8080      41.7994     -60.3206      55.1546    -227.3879 
 47984.00000    -166.1375      22.0120      43.0827     -60.3248      52.7817    -227.6333 
 47985.00000    -166.1923      23.1056      44.1820     -60.0563      50.3680    -227.7330 
 47986.00000    -165.5367      23.0329      44.3386     -60.6639      48.0409    -227.7543 
 47987.00000    -164.6344      22.0845      43.7444     -61.6548      45.8122    -227.7510 
 47988.00000    -164.2491      21.3051      43.2433     -62.0767      43.6062    -227.7014 
 47989.00000    -164.3495      21.5016      43.5908     -61.8243      41.3502    -227.5591 
 47990.00000    -164.2873      22.5925      44.7269     -61.6734      38.9733    -227.4070 
 47991.00000    -163.6353      23.9371      46.0579     -62.2567      36.4870    -227.3564 
 47992.00000    -162.5893      25.0818      47.1574     -63.4228      33.9575    -227.4049 
 47993.00000    -161.6650      26.1401      48.0978     -64.5309      31.3930    -227.4414 
 47994.00000    -161.2541      27.2387      48.9925     -65.0675      28.7938    -227.3538 
 47995.00000    -161.3837      27.9542      49.5221     -64.9749      26.2428    -227.0989 
 47996.00000    -161.8449      27.9017      49.4055     -64.4642      23.8189    -226.6912 
 47997.00000    -162.2958      27.4163      48.9506     -63.9130      21.4817    -226.2000 
 47998.00000    -162.4306      27.1127      48.6805     -63.6854      19.1447    -225.6929 
 47999.00000    -162.0232      27.3074      48.8569     -64.0653      16.7746    -225.2110 
 48000.00000    -160.7882      27.5940      49.1339     -65.3598      14.4686    -224.7731 
 48001.00000    -158.7875      27.6036      49.1847     -67.4572      12.3018    -224.3491 
 48002.00000    -156.8223      27.7587      49.3467     -69.4547      10.1647    -223.8197 
 48003.00000    -155.4717      28.1915      49.7068     -70.7431       7.9611    -223.1357 
 48004.00000    -154.6832      28.4448      49.8470     -71.4175       5.7079    -222.3736 
 48005.00000    -154.8570      28.3724      49.7160     -71.1005       3.4275    -221.5766 
 48006.00000    -156.1791      28.0055      49.4391     -69.6202       1.1468    -220.7627 
 48007.00000    -157.5810      27.1177      48.8194     -68.0785      -1.0025    -220.0157 
 48008.00000    -158.3675      25.9627      48.0051     -67.1948      -3.0176    -219.3494 
 48009.00000    -158.5837      25.2798      47.5197     -66.9597      -5.0861    -218.6847 
 48010.00000    -157.7006      25.5256      47.4940     -67.9904      -7.3974    -218.0169 
 48011.00000    -156.4308      26.2922      47.8094     -69.5650      -9.7604    -217.3743 
 48012.00000    -156.5302      26.8360      48.4557     -69.8182     -11.8201    -216.7491 
 48013.00000    -157.9125      27.2322      49.4837     -68.8559     -13.6387    -216.1431 
 48014.00000    -159.3355      28.0317      50.8952     -68.0107     -15.4976    -215.5423 
 48015.00000    -160.4281      29.3874      52.6417     -67.5892     -17.4932    -214.8369 
 48016.00000    -161.3425      30.9495      54.4436     -67.2546     -19.5883    -213.9125 
 48017.00000    -162.0540      31.8739      55.5370     -66.7738     -21.7202    -212.7491 
 48018.00000    -162.6468      32.3033      56.1061     -66.3022     -23.8643    -211.5683 
 48019.00000    -163.0610      32.1906      56.1101     -65.9325     -25.9984    -210.4431 
 48020.00000    -163.9354      30.7866      55.2950     -64.6709     -27.8796    -209.2553 
 48021.00000    -164.7691      29.1981      54.4242     -63.4029     -29.6491    -208.0855 
 48022.00000    -163.9824      28.6977      53.7288     -64.0875     -31.7010    -206.9705 
 48023.00000    -162.2920      28.6343      52.8452     -65.7638     -33.9768    -205.8371 
 48024.00000    -161.6882      28.4737      52.2548     -66.4650     -36.2242    -204.7592 
 48025.00000    -162.2733      28.4114      52.2478     -66.2052     -38.4182    -203.7535 
 48026.00000    -163.1404      28.5807      52.5616     -65.8044     -40.6156    -202.7337 
 48027.00000    -163.9097      28.8067      52.9031     -65.4591     -42.7963    -201.6129 
 48028.00000    -164.6164      29.0490      53.2749     -65.1021     -44.9310    -200.3723 
 48029.00000    -165.4362      29.4977      53.9195     -64.6942     -47.0226    -199.0442 
 48030.00000    -166.6276      30.1871      54.9434     -64.0359     -49.1145    -197.6321 
 48031.00000    -168.3393      30.9999      56.3046     -62.9490     -51.2249    -196.1275 
 48032.00000    -170.4885      31.7598      57.9094     -61.4602     -53.2696    -194.5551 
 48033.00000    -172.2837      32.4037      59.3101     -60.2133     -55.2604    -192.8982 
 48034.00000    -172.7382      33.0317      59.9570     -60.0545     -57.3123    -191.1174 
 48035.00000    -172.4521      33.6879      60.2003     -60.5615     -59.3781    -189.3077 
 48036.00000    -172.6157      34.3051      60.7071     -60.8035     -61.3476    -187.5934 
 48037.00000    -173.2572      34.6988      61.3247     -60.6375     -63.2521    -185.9480 
 48038.00000    -173.9819      34.7247      61.6617     -60.2410     -65.1629    -184.3016 
 48039.00000    -174.6131      34.3798      61.5904     -59.7074     -67.1151    -182.6163 
 48040.00000    -175.4500      33.8824      61.4392     -58.8455     -69.1383    -180.8302 
 48041.00000    -176.7555      33.5204      61.5896     -57.5690     -71.2496    -178.8945 
 48042.00000    -178.2746      33.5188      62.0979     -56.2549     -73.4275    -176.8293 
 48043.00000    -179.2938      34.2419      62.8351     -55.8006     -75.6382    -174.7288 
 48044.00000    -178.7878      35.8388      63.3712     -57.2445     -77.7386    -172.7326 
 48045.00000    -177.1430      37.5479      63.4172     -59.8221     -79.6086    -170.8767 
 48046.00000    -175.6115      38.4441      63.0352     -61.8844     -81.2683    -169.0938 
 48047.00000    -174.6724      38.5774      62.5877     -62.9829     -82.7392    -167.2842 
 48048.00000    -173.9796      38.8125      62.4242     -63.8630     -84.1140    -165.3611 
 48049.00000    -173.2274      39.6491      62.5879     -65.0778     -85.5057    -163.3023 
 48050.00000    -172.4778      40.9503      62.9595     -66.5525     -86.9589    -161.1568 
 48051.00000    -171.8824      42.4693      63.4676     -68.0707     -88.4643    -158.9767 
 48052.00000    -171.5061      43.9832      64.0425     -69.4662     -89.9808    -156.7913 
 48053.00000    -171.3529      45.0973      64.5292     -70.4733     -91.4030    -154.6204 
 48054.00000    -171.3197      45.5961      64.7875     -71.0082     -92.6683    -152.4765 
